,country,region,election_renewal,year,month,chamber_type,chamber_total_seats,women_total,women_perc,notes
37,Algeria,MENA,Yes,1991,,temporary_assembly,60,6.0,0.1,Legislative elections organized for the renewal of the National Assembly were cancelled on 12 January 1992 following the first round of voting.  Presidential Decree N° 02-39 of 4 February 1992 established a 60-member Consultative National Council all appointed for an indeterminate period; women among the members of the Council:  10.0%.
38,Algeria,MENA,Yes,1994,,temporary_assembly,178,12.0,0.06744,"The nominal number of seats is 200, but there were 22 vacancies at the time. All appointed; Pursuant to Article 27 of Presidential Decree N° 94-49 of 29 January 1994, the National Transitional Council comprises 200 designated members, depending on the case, by the State or their group and vested by decree for the entire transitional period."
39,Algeria,MENA,Yes,1997,,single,183,12.0,0.06555,
40,Algeria,MENA,Yes,2002,,lower,389,24.0,0.0617,
41,Algeria,MENA,Yes,2002,August,lower,389,24.0,0.0617,
42,Algeria,MENA,Yes,2003,,upper,144,28.0,0.1945,Indirect elections for only half of the 96 seats up for election (remaining 48 appointed).
43,Algeria,MENA,Yes,2006,,upper,129,4.0,0.031,Partial renewal for 57 MPs: 48 members/0 women indirectly elected; 9 members/2 women appointed.
44,Algeria,MENA,Yes,2007,June,lower,389,28.0,0.07196,
45,Algeria,MENA,Yes,2007,September,lower,389,30.0,0.07715,
46,Algeria,MENA,Yes,2009,,upper,136,7.0,0.05148,Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office.
47,Algeria,MENA,Yes,2012,,lower,462,146.0,0.316,"The Green Algeria Coalition comprised the Movement of Society for Peace (MSP, which had left the tripartite presidential alliance in January 2012; the Islamic Renaissance Movement (Ennahda) and the National Reform Movement. Eight seats are reserved for Algerians residing abroad."
48,Algeria,MENA,Yes,2012,,upper,142,10.0,0.07043,Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office.
49,Algeria,MENA,Yes,2015,,upper,144,10.0,0.06946,
50,Algeria,MENA,Yes,2017,May,lower,462,119.0,0.2576,
51,Algeria,MENA,Yes,2018,December,upper,132,9.0,0.0682,1 woman indirectly elected
52,Andorra,EUR,Yes,1993,,single,28,1.0,0.0357,"First Parliament of Andorra, which became an independent sovereign State on 4 May 1993."
53,Andorra,EUR,Yes,2001,,single,28,2.0,0.0714,
54,Andorra,EUR,Yes,2001,,single,28,4.0,0.1428,
55,Andorra,EUR,Yes,2005,,single,28,9.0,0.3215,
56,Andorra,EUR,Yes,2009,,single,28,9.0,0.3215,
57,Andorra,EUR,Yes,2009,June,single,28,10.0,0.3572,
58,Andorra,EUR,Yes,2011,April,single,28,15.0,0.5356,Elections were held for all the seats in the General Council following the early dissolution of this body on 15 February 2011. Elections to the House of Representatives had previously taken place in April 2009.
59,Andorra,EUR,Yes,2011,December,single,28,14.0,0.5,
60,Andorra,EUR,Yes,2015,,single,28,11.0,0.3928,
61,Angola,SUB-SAHARAN,Yes,1980,,single,229,19.0,0.08295,First legislature of Angola after the country became independent on 11 November 1975.
62,Angola,SUB-SAHARAN,Yes,1986,,single,289,42.0,0.1454,"Plus 29 substitute members, 7 of whom were women"
63,Angola,SUB-SAHARAN,Yes,1992,,single,220,21.0,0.09546,
64,Angola,SUB-SAHARAN,Yes,2008,,single,220,82.0,0.3728,
65,Angola,SUB-SAHARAN,Yes,2012,September,single,220,75.0,0.3408,
66,Angola,SUB-SAHARAN,Yes,2017,August,single,220,68.0,0.309,
67,Antigua and Barbuda,AME,Yes,1984,,lower,17,0.0,0.0,First legislature of Antigua and Barbuda after the country became independent on 1 November 1981; All members of the House of Representatives were appointed
68,Antigua and Barbuda,AME,Yes,1984,,upper,17,2.0,0.1177,First legislature of Antigua and Barbuda after the country became independent on 1 November 1981; 
69,Antigua and Barbuda,AME,Yes,1989,,lower,17,0.0,0.0,All members of the House of Representatives were appointed.
70,Antigua and Barbuda,AME,Yes,1989,,upper,17,1.0,0.05884,
71,Antigua and Barbuda,AME,Yes,1992,,upper,17,2.0,0.1177,
72,Antigua and Barbuda,AME,Yes,1994,,lower,19,1.0,0.05264,"First time members were elected. However, the first female member of the House of Representatives was co-opted on appointment by the Government."
73,Antigua and Barbuda,AME,Yes,1994,,upper,17,3.0,0.1765,
74,Antigua and Barbuda,AME,Yes,1999,,lower,19,1.0,0.05264,
75,Antigua and Barbuda,AME,Yes,1999,,upper,17,2.0,0.1177,
76,Antigua and Barbuda,AME,Yes,2004,,lower,19,2.0,0.1053,
77,Antigua and Barbuda,AME,Yes,2004,,upper,17,3.0,0.1765,
78,Antigua and Barbuda,AME,Yes,2009,,lower,19,2.0,0.1053,Elections were held for all elective seats in the House of Representatives on the normal expiry of the members' term of office.
79,Antigua and Barbuda,AME,Yes,2009,,upper,17,5.0,0.2942,
80,Antigua and Barbuda,AME,Yes,2014,,lower,18,2.0,0.1111,
81,Antigua and Barbuda,AME,Yes,2014,,upper,15,5.0,0.3333,
82,Antigua and Barbuda,AME,Yes,2018,March,lower,18,2.0,0.1111,
83,Antigua and Barbuda,AME,Yes,2018,March,upper,17,9.0,0.5293,
84,Argentina,AME,Yes,1946,,lower,158,0.0,0.0,
85,Argentina,AME,Yes,1946,,upper,34,0.0,0.0,
86,Argentina,AME,Yes,1948,,lower,158,0.0,0.0,"Election for only half the members of the House, modifying its composition."
87,Argentina,AME,Yes,1951,,lower,155,24.0,0.1548,
88,Argentina,AME,Yes,1951,,upper,30,6.0,0.2,"The nominal number of seats is 34, but there were 4 vacancies at the time."
89,Argentina,AME,Yes,1955,,lower,157,34.0,0.2166,Congress was dissolved following a military coup d'Etat on 16 September 1955.
90,Argentina,AME,Yes,1955,,upper,30,6.0,0.2,Congress was dissolved following a military coup d'Etat on 16 September 1955.
91,Argentina,AME,Yes,1958,,lower,184,4.0,0.02174,"102 members of house elected. The nominal number of seats is 187, but there were 3 vacancies."
92,Argentina,AME,Yes,1958,,upper,42,0.0,0.0,"Election of 102 of the 192 members of the House, modifying its composition. The nominal number of seats is 46, but there were 4 vacancies at the time. Congress was dissolved some six months after the military coup d'Etat of March 1962."
93,Argentina,AME,Yes,1960,,lower,190,2.0,0.01053,"Election of 102 of the 192 members of the House, modifying its composition.  Congress was dissolved some six months after the military coup d'Etat of March 1962."
94,Argentina,AME,Yes,1963,,lower,192,1.0,0.005207,"The nominal number of seats is 194, but there were 2 vacancies at the time."
95,Argentina,AME,Yes,1963,,upper,46,0.0,0.0,Congress was dissolved following a military coup d'Etat on 28 June 1966.
96,Argentina,AME,Yes,1965,,lower,192,4.0,0.02083,"Election for only half of the members of the House, modifying its composition. The nominal number of seats is 194, but there were 2 vacancies at the time. Congress was dissolved following a military coup d'Etat on 28 June 1966. "
97,Argentina,AME,Yes,1973,,lower,243,19.0,0.0782,Congress was dissolved following a military coup d'Etat on 24 March 1976.
98,Argentina,AME,Yes,1973,,upper,69,3.0,0.0435,Congress was dissolved following a military coup d'Etat on 24 March 1976.
99,Argentina,AME,Yes,1983,,lower,254,10.0,0.03937,
100,Argentina,AME,Yes,1983,,upper,46,3.0,0.06525,
101,Argentina,AME,Yes,1985,,lower,254,10.0,0.03937,
102,Argentina,AME,Yes,1986,,upper,46,3.0,0.06525,
103,Argentina,AME,Yes,1987,,lower,254,12.0,0.04724,
104,Argentina,AME,Yes,1989,,lower,254,16.0,0.063,
105,Argentina,AME,Yes,1989,,upper,46,4.0,0.087,
106,Argentina,AME,Yes,1991,,lower,257,15.0,0.05838,
107,Argentina,AME,Yes,1992,,lower,257,37.0,0.1439,
108,Argentina,AME,Yes,1993,,upper,46,4.0,0.087,"A Constituent Assembly was set up on 10 April 1994, comprising 305 members, including 81 women: 26.5%."
109,Argentina,AME,Yes,1995,,lower,257,65.0,0.253,Election for 127 members of the House.
110,Argentina,AME,Yes,1995,,upper,72,2.0,0.02777,Partial renewal of one third of the seats in the Senate.
111,Argentina,AME,Yes,1997,December,lower,257,71.0,0.2764,
112,Argentina,AME,Yes,1999,,lower,257,68.0,0.2646,Election for 127 members of the House.
113,Argentina,AME,Yes,1999,,upper,72,2.0,0.02777,Partial renewal of one third of the seats in the Senate.
114,Argentina,AME,Yes,2001,,lower,257,79.0,0.3074,Election for 127 members of the House.
115,Argentina,AME,Yes,2001,,upper,72,24.0,0.3333,
116,Argentina,AME,Yes,2005,,lower,257,93.0,0.3618,Election for 127 members of the House. 47 women were elected.
117,Argentina,AME,Yes,2005,,upper,72,30.0,0.4167,"Senate: 24 seats up for election,"
118,Argentina,AME,Yes,2007,,lower,255,102.0,0.4,Election for 130 members of the House.
119,Argentina,AME,Yes,2007,May,upper,72,28.0,0.389,
120,Argentina,AME,Yes,2009,August,lower,257,107.0,0.4163,Election for 127 members of the House. 47 women were elected.
121,Argentina,AME,Yes,2009,December,lower,257,99.0,0.3853,
122,Argentina,AME,Yes,2009,August,upper,72,27.0,0.375,
123,Argentina,AME,Yes,2009,December,upper,71,25.0,0.352,
124,Argentina,AME,Yes,2011,,lower,257,96.0,0.3735,Elections were held to renew one-half of the seats (130) in the Chamber of Deputies on the normal expiry of the members' term of office. At stake in the 2011 elections were 130 of the 257 seats in the Chamber of Deputies and 24 of the 72 seats in the Senate. Parliamentary elections were held in parallel with presidential polls. 
125,Argentina,AME,Yes,2011,,upper,72,28.0,0.389,
126,Argentina,AME,Yes,2013,January,lower,257,96.0,0.3735,one-half of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal
127,Argentina,AME,Yes,2013,January,upper,72,28.0,0.389,one-third of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal
128,Argentina,AME,Yes,2015,,lower,257,92.0,0.358,one-half of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal
129,Argentina,AME,Yes,2015,,upper,72,30.0,0.4167,one-third of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal
130,Argentina,AME,Yes,2017,,lower,257,98.0,0.3813,
131,Argentina,AME,Yes,2017,,upper,72,30.0,0.4167,
132,Armenia,ASIA,Yes,1990,,single,244,9.0,0.0369,"The Soviet Supreme of the SSR of Armenia became, under the name of Supreme Council (Khordrdaran) the first legislature of Armenia after the country became independent on 21 September 1991. Armenian women were previously elected to the Soviet Supreme of the SSR of Armenia (see below) and to the Parliament of the USSR."
133,Armenia,ASIA,Yes,1995,,single,190,12.0,0.0632,
134,Armenia,ASIA,Yes,1999,,single,131,4.0,0.03053,
135,Armenia,ASIA,Yes,2003,,single,131,6.0,0.0458,
136,Armenia,ASIA,Yes,2007,June,single,130,12.0,0.0923,
137,Armenia,ASIA,Yes,2007,September,single,131,12.0,0.0916,
138,Armenia,ASIA,Yes,2012,,single,131,14.0,0.1069,
139,Armenia,EUR,Yes,2017,April,single,105,18.0,0.1714,
140,Armenia,EUR,Yes,2018,December,single,132,32.0,0.2424,
141,Australia,PAC,Yes,1946,,lower,75,2.0,0.02667,
142,Australia,PAC,Yes,1946,,upper,36,2.0,0.05554,
143,Australia,PAC,Yes,1949,,lower,123,1.0,0.00813,
144,Australia,PAC,Yes,1949,,upper,60,4.0,0.06665,
145,Australia,PAC,Yes,1951,,lower,123,0.0,0.0,
146,Australia,PAC,Yes,1951,,upper,60,4.0,0.06665,
147,Australia,PAC,Yes,1953,,upper,60,4.0,0.06665,
148,Australia,PAC,Yes,1954,,lower,123,0.0,0.0,
149,Australia,PAC,Yes,1955,,lower,124,0.0,0.0,
150,Australia,PAC,Yes,1955,,upper,60,5.0,0.0833,
151,Australia,PAC,Yes,1958,,lower,124,0.0,0.0,
152,Australia,PAC,Yes,1958,,upper,60,5.0,0.0833,
153,Australia,PAC,Yes,1961,,lower,124,0.0,0.0,
154,Australia,PAC,Yes,1961,,upper,60,5.0,0.0833,
155,Australia,PAC,Yes,1963,,lower,124,0.0,0.0,
156,Australia,PAC,Yes,1964,,upper,60,4.0,0.06665,
157,Australia,PAC,Yes,1966,,lower,124,1.0,0.008064,
158,Australia,PAC,Yes,1966,,upper,60,4.0,0.06665,
159,Australia,PAC,Yes,1967,,upper,60,3.0,0.05,
160,Australia,PAC,Yes,1969,,lower,125,0.0,0.0,
161,Australia,PAC,Yes,1970,,upper,60,2.0,0.03333,
162,Australia,PAC,Yes,1972,,lower,125,0.0,0.0,
163,Australia,PAC,Yes,1974,,lower,127,1.0,0.00787,
164,Australia,PAC,Yes,1974,,upper,60,4.0,0.06665,
165,Australia,PAC,Yes,1975,,lower,127,0.0,0.0,
166,Australia,PAC,Yes,1975,,upper,64,6.0,0.09375,
167,Australia,PAC,Yes,1977,,lower,124,0.0,0.0,
168,Australia,PAC,Yes,1977,,upper,64,6.0,0.09375,
169,Australia,PAC,Yes,1980,,lower,125,3.0,0.024,
170,Australia,PAC,Yes,1980,,upper,64,9.0,0.1406,
171,Australia,PAC,Yes,1983,,lower,125,6.0,0.048,
172,Australia,PAC,Yes,1983,,upper,64,13.0,0.2031,
173,Australia,PAC,Yes,1984,,lower,148,8.0,0.05405,
174,Australia,PAC,Yes,1984,,upper,76,14.0,0.1842,
175,Australia,PAC,Yes,1987,,lower,148,9.0,0.06082,
176,Australia,PAC,Yes,1987,,upper,76,17.0,0.2236,
177,Australia,PAC,Yes,1990,,lower,148,10.0,0.06757,
178,Australia,PAC,Yes,1990,,upper,76,18.0,0.2368,
179,Australia,PAC,Yes,1993,,lower,147,13.0,0.08844,
180,Australia,PAC,Yes,1993,,upper,76,16.0,0.2106,
181,Australia,PAC,Yes,1996,,lower,148,23.0,0.1554,
182,Australia,PAC,Yes,1996,,upper,76,23.0,0.3027,
183,Australia,PAC,Yes,1997,,upper,76,23.0,0.3027,
184,Australia,PAC,Yes,1998,,lower,148,32.0,0.2162,
185,Australia,PAC,Yes,1998,,upper,76,22.0,0.2896,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
186,Australia,PAC,Yes,2001,,lower,150,38.0,0.2534,
187,Australia,PAC,Yes,2001,,upper,76,23.0,0.3027,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
188,Australia,PAC,Yes,2004,,lower,150,37.0,0.2467,
189,Australia,PAC,Yes,2004,,upper,76,27.0,0.3552,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years. 14 women elected out of the 40 renewed seats."
190,Australia,PAC,Yes,2007,November,lower,150,40.0,0.2666,
191,Australia,PAC,Yes,2007,,upper,76,27.0,0.3552,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
192,Australia,PAC,Yes,2010,,lower,150,37.0,0.2467,
193,Australia,PAC,Yes,2010,,upper,76,29.0,0.3816,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
194,Australia,PAC,Yes,2013,January,lower,150,37.0,0.2467,
195,Australia,PAC,Yes,2013,,upper,75,31.0,0.4133,
196,Australia,PAC,Yes,2013,January,upper,76,29.0,0.3816,
197,Australia,PAC,Yes,2016,,lower,150,40.0,0.2666,
198,Australia,PAC,Yes,2016,July,lower,150,43.0,0.2866,
199,Australia,PAC,Yes,2016,,upper,76,28.0,0.3684,"One half of the senators are renewed every three years, except for the four senators representing the federal territories (territory senators), who are elected for a maximum of three years."
200,Austria,EUR,Yes,1945,,lower,165,9.0,0.05453,
201,Austria,EUR,Yes,1949,,lower,165,8.0,0.0485,
202,Austria,EUR,Yes,1953,,lower,165,9.0,0.05453,
203,Austria,EUR,Yes,1956,,lower,165,8.0,0.0485,
204,Austria,EUR,Yes,1959,,lower,165,9.0,0.05453,
205,Austria,EUR,Yes,1962,,lower,165,9.0,0.05453,
206,Austria,EUR,Yes,1966,,lower,165,9.0,0.05453,
207,Austria,EUR,Yes,1970,,lower,165,8.0,0.0485,
208,Austria,EUR,Yes,1971,,lower,183,11.0,0.06012,
209,Austria,EUR,Yes,1975,,lower,183,14.0,0.0765,
210,Austria,EUR,Yes,1979,,lower,183,18.0,0.0984,
211,Austria,EUR,Yes,1983,,lower,183,17.0,0.0929,
212,Austria,EUR,Yes,1986,,lower,183,21.0,0.11475,
213,Austria,EUR,Yes,1990,,lower,183,36.0,0.1968,
214,Austria,EUR,Yes,1994,,lower,183,40.0,0.2186,
215,Austria,EUR,Yes,1995,,lower,183,49.0,0.2678,
216,Austria,EUR,Yes,1999,,lower,183,49.0,0.2678,
217,Austria,EUR,Yes,2002,,lower,183,62.0,0.3389,
218,Austria,EUR,Yes,2006,,lower,183,59.0,0.3225,
219,Austria,EUR,Yes,2008,,lower,183,50.0,0.2732,Elections were held for all the seats in the National Council following premature dissolution of this body on 9 July 2008. Elections to the National Council had previously taken place on 1 October 2006.
220,Austria,EUR,Yes,2013,January,lower,183,51.0,0.2788,
221,Austria,EUR,Yes,2013,October,lower,183,61.0,0.3333,
222,Austria,EUR,Yes,2017,October,lower,183,63.0,0.3442,
223,Austria,EUR,Continuous Renewal,1945,,upper,49,0.0,0.0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
224,Austria,EUR,Continuous Renewal,1946,,upper,49,0.0,0.0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
225,Austria,EUR,Continuous Renewal,1947,,upper,49,0.0,0.0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
226,Austria,EUR,Continuous Renewal,1948,,upper,49,0.0,0.0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
227,Austria,EUR,Continuous Renewal,1949,,upper,48,1.0,0.02083,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
228,Austria,EUR,Continuous Renewal,1950,,upper,48,1.0,0.02083,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
229,Austria,EUR,Continuous Renewal,1951,,upper,48,1.0,0.02083,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
230,Austria,EUR,Continuous Renewal,1952,,upper,48,1.0,0.02083,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
231,Austria,EUR,Continuous Renewal,1953,,upper,45,1.0,0.02222,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
232,Austria,EUR,Continuous Renewal,1954,,upper,45,1.0,0.02222,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
233,Austria,EUR,Continuous Renewal,1955,,upper,45,1.0,0.02222,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
234,Austria,EUR,Continuous Renewal,1956,,upper,48,6.0,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
235,Austria,EUR,Continuous Renewal,1957,,upper,48,6.0,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
236,Austria,EUR,Continuous Renewal,1958,,upper,48,6.0,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
237,Austria,EUR,Continuous Renewal,1959,,upper,48,6.0,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
238,Austria,EUR,Continuous Renewal,1960,,upper,48,6.0,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
239,Austria,EUR,Continuous Renewal,1961,,upper,48,6.0,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
240,Austria,EUR,Continuous Renewal,1962,,upper,51,7.0,0.1372,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
241,Austria,EUR,Continuous Renewal,1963,,upper,51,7.0,0.1372,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
242,Austria,EUR,Continuous Renewal,1964,,upper,51,7.0,0.1372,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
243,Austria,EUR,Continuous Renewal,1965,,upper,51,7.0,0.1372,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
244,Austria,EUR,Continuous Renewal,1966,,upper,51,6.0,0.1177,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
245,Austria,EUR,Continuous Renewal,1967,,upper,51,6.0,0.1177,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
246,Austria,EUR,Continuous Renewal,1968,,upper,51,6.0,0.1177,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
247,Austria,EUR,Continuous Renewal,1969,,upper,51,6.0,0.1177,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
248,Austria,EUR,Continuous Renewal,1970,,upper,54,9.0,0.1666,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
249,Austria,EUR,Continuous Renewal,1971,,upper,51,9.0,0.1765,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
250,Austria,EUR,Continuous Renewal,1972,,upper,51,9.0,0.1765,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
251,Austria,EUR,Continuous Renewal,1973,,upper,51,9.0,0.1765,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
252,Austria,EUR,Continuous Renewal,1974,,upper,51,9.0,0.1765,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
253,Austria,EUR,Continuous Renewal,1975,,upper,55,11.0,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
254,Austria,EUR,Continuous Renewal,1976,,upper,55,11.0,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
255,Austria,EUR,Continuous Renewal,1977,,upper,55,11.0,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
256,Austria,EUR,Continuous Renewal,1978,,upper,55,11.0,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
257,Austria,EUR,Continuous Renewal,1979,,upper,55,9.0,0.1637,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
258,Austria,EUR,Continuous Renewal,1980,,upper,55,9.0,0.1637,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
259,Austria,EUR,Continuous Renewal,1981,,upper,55,9.0,0.1637,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
260,Austria,EUR,Continuous Renewal,1982,,upper,55,9.0,0.1637,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
261,Austria,EUR,Continuous Renewal,1983,,upper,61,10.0,0.164,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
262,Austria,EUR,Continuous Renewal,1984,,upper,61,10.0,0.164,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
263,Austria,EUR,Continuous Renewal,1985,,upper,61,10.0,0.164,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
264,Austria,EUR,Continuous Renewal,1986,,upper,62,13.0,0.2097,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
265,Austria,EUR,Continuous Renewal,1987,,upper,62,13.0,0.2097,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
266,Austria,EUR,Continuous Renewal,1988,,upper,62,13.0,0.2097,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
267,Austria,EUR,Continuous Renewal,1989,,upper,62,13.0,0.2097,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
268,Austria,EUR,Continuous Renewal,1990,,upper,60,13.0,0.2167,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
269,Austria,EUR,Continuous Renewal,1991,,upper,60,13.0,0.2167,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
270,Austria,EUR,Continuous Renewal,1992,,upper,60,13.0,0.2167,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections
